direct_pair_multiplier,err_direct,err_parrot,err_rollout,horizon,kaplan_yorke_dim,lyap_max,lyap_time,n_pairs_direct,n_pairs_rollout,params_direct,params_rollout,seed,system
4,0.09656509757041931,0.03055826989081893,0.0057910424657166,16,2.075158758095728,0.8917098035724058,0.21412449171223463,64000,16000,19859,19868,0,Lorenz
4,0.17979378998279572,0.11068872611895827,0.020972013473510742,32,2.075158758095728,0.8917098035724058,0.42824898342446927,64000,16000,19859,19868,0,Lorenz
4,0.474398672580719,0.17515139675001778,0.16417117416858673,64,2.075158758095728,0.8917098035724058,0.8564979668489385,64000,16000,19859,19868,0,Lorenz
4,0.9215472936630249,0.51469679316377,0.2983517050743103,128,2.075158758095728,0.8917098035724058,1.712995933697877,64000,16000,19859,19868,0,Lorenz
4,0.9965981841087341,1.0039963940783754,0.6916050910949707,256,2.075158758095728,0.8917098035724058,3.425991867395754,64000,16000,19859,19868,0,Lorenz
4,1.0172128677368164,1.2755083722719043,1.4198977947235107,512,2.075158758095728,0.8917098035724058,6.851983734791508,64000,16000,19859,19868,0,Lorenz
1,0.044319998472929,0.014285838456423573,0.0003814201627392322,1,2.075158758095728,0.8917098035724058,0.013382780732014665,16000,16000,19859,19868,1,Lorenz
1,0.04001463204622269,0.014525403188561974,0.000725825724657625,2,2.075158758095728,0.8917098035724058,0.02676556146402933,16000,16000,19859,19868,1,Lorenz
1,0.053219087421894073,0.015382314760138434,0.0013281425926834345,4,2.075158758095728,0.8917098035724058,0.05353112292805866,16000,16000,19859,19868,1,Lorenz
1,0.08252932131290436,0.018240658268500253,0.0025413064286112785,8,2.075158758095728,0.8917098035724058,0.10706224585611732,16000,16000,19859,19868,1,Lorenz
1,0.12876181304454803,0.03055826989081893,0.005338258575648069,16,2.075158758095728,0.8917098035724058,0.21412449171223463,16000,16000,19859,19868,1,Lorenz
1,0.2511630654335022,0.11068872611895827,0.0193715151399374,32,2.075158758095728,0.8917098035724058,0.42824898342446927,16000,16000,19859,19868,1,Lorenz
1,0.6011826992034912,0.17515139675001778,0.15573817491531372,64,2.075158758095728,0.8917098035724058,0.8564979668489385,16000,16000,19859,19868,1,Lorenz
1,0.9851787686347961,0.51469679316377,0.09735572338104248,128,2.075158758095728,0.8917098035724058,1.712995933697877,16000,16000,19859,19868,1,Lorenz
1,1.0128825902938843,1.0039963940783754,0.4382320046424866,256,2.075158758095728,0.8917098035724058,3.425991867395754,16000,16000,19859,19868,1,Lorenz
1,1.0510005950927734,1.2755083722719043,1.2457265853881836,512,2.075158758095728,0.8917098035724058,6.851983734791508,16000,16000,19859,19868,1,Lorenz
4,0.0360487625002861,0.014285838456423573,0.0003814201627392322,1,2.075158758095728,0.8917098035724058,0.013382780732014665,64000,16000,19859,19868,1,Lorenz
4,0.03253880888223648,0.014525403188561974,0.000725825724657625,2,2.075158758095728,0.8917098035724058,0.02676556146402933,64000,16000,19859,19868,1,Lorenz
4,0.05399070307612419,0.015382314760138434,0.0013281425926834345,4,2.075158758095728,0.8917098035724058,0.05353112292805866,64000,16000,19859,19868,1,Lorenz
4,0.07349514216184616,0.018240658268500253,0.0025413064286112785,8,2.075158758095728,0.8917098035724058,0.10706224585611732,64000,16000,19859,19868,1,Lorenz
4,0.10393509268760681,0.03055826989081893,0.005338258575648069,16,2.075158758095728,0.8917098035724058,0.21412449171223463,64000,16000,19859,19868,1,Lorenz
4,0.16108576953411102,0.11068872611895827,0.0193715151399374,32,2.075158758095728,0.8917098035724058,0.42824898342446927,64000,16000,19859,19868,1,Lorenz
4,0.44363653659820557,0.17515139675001778,0.15573817491531372,64,2.075158758095728,0.8917098035724058,0.8564979668489385,64000,16000,19859,19868,1,Lorenz
4,0.905594527721405,0.51469679316377,0.09735572338104248,128,2.075158758095728,0.8917098035724058,1.712995933697877,64000,16000,19859,19868,1,Lorenz
4,1.0114823579788208,1.0039963940783754,0.4382320046424866,256,2.075158758095728,0.8917098035724058,3.425991867395754,64000,16000,19859,19868,1,Lorenz
4,1.0182746648788452,1.2755083722719043,1.2457265853881836,512,2.075158758095728,0.8917098035724058,6.851983734791508,64000,16000,19859,19868,1,Lorenz
1,0.04955953359603882,0.014285838456423573,0.00045291779679246247,1,2.075158758095728,0.8917098035724058,0.013382780732014665,16000,16000,19859,19868,2,Lorenz
1,0.04561060294508934,0.014525403188561974,0.0008702740888111293,2,2.075158758095728,0.8917098035724058,0.02676556146402933,16000,16000,19859,19868,2,Lorenz
1,0.05157250538468361,0.015382314760138434,0.0017051702598109841,4,2.075158758095728,0.8917098035724058,0.05353112292805866,16000,16000,19859,19868,2,Lorenz
1,0.07135217636823654,0.018240658268500253,0.0034889488015323877,8,2.075158758095728,0.8917098035724058,0.10706224585611732,16000,16000,19859,19868,2,Lorenz
1,0.11960700899362564,0.03055826989081893,0.006248259451240301,16,2.075158758095728,0.8917098035724058,0.21412449171223463,16000,16000,19859,19868,2,Lorenz
1,0.26413118839263916,0.11068872611895827,0.020588789135217667,32,2.075158758095728,0.8917098035724058,0.42824898342446927,16000,16000,19859,19868,2,Lorenz
1,0.5959019064903259,0.17515139675001778,0.07302610576152802,64,2.075158758095728,0.8917098035724058,0.8564979668489385,16000,16000,19859,19868,2,Lorenz
1,0.997378945350647,0.51469679316377,0.27726075053215027,128,2.075158758095728,0.8917098035724058,1.712995933697877,16000,16000,19859,19868,2,Lorenz
1,1.0073872804641724,1.0039963940783754,0.7301869988441467,256,2.075158758095728,0.8917098035724058,3.425991867395754,16000,16000,19859,19868,2,Lorenz
1,1.0436807870864868,1.2755083722719043,1.3274208307266235,512,2.075158758095728,0.8917098035724058,6.851983734791508,16000,16000,19859,19868,2,Lorenz
