budget,corr_dim_pub,density_kl,dim,diverged,epochs,err_h1,err_h10,err_h100,err_h1000,err_h200,err_h50,err_h500,final_train_loss,kaplan_yorke_dim,lyap_max,lyap_time_per_step,n_params,n_train,nrmse_1,pts_per_period,rollout_steps,seed,smape_1,smape_all,spectrum_error,system,vpt_censored,vpt_lyap,vpt_steps,wall_s
4600,1.796820702938341,0.0774613529443302,3,False,200,0.0006545242504216731,0.1394970715045929,0.5290961861610413,1.5400062799453735,0.7204020023345947,0.7711921334266663,1.0223444700241089,8.07699533424966e-07,2.0146095059018845,0.15059688939547888,0.04449083903410632,4611,32000,0.0007523971255681673,20,1000,1,0.0022123649149220236,0.7853976808387196,0.5026301975935338,Rossler,False,1.2902343319890832,29.0,50.36
4600,1.796820702938341,2.9469510161998294,3,False,200,0.0010962943779304624,0.37757158279418945,2.752934694290161,370.8074645996094,17.209604263305664,1.4635200500488281,124.73077392578125,2.0563340667649756e-06,2.0146095059018845,0.15059688939547888,0.04449083903410632,4611,32000,0.0012544810532571743,20,1000,2,0.002663522407044389,1.3955504000199634,2.7677313654829407,Rossler,False,0.3114358732387442,7.0,45.83
10000,1.796820702938341,1.166004247075267,3,False,200,0.0007279436103999615,0.1749434769153595,4.333042621612549,409.8969421386719,24.83864402770996,0.5372618436813354,146.87554931640625,7.718488823229563e-07,2.0146095059018845,0.15059688939547888,0.04449083903410632,9987,32000,0.0008355581751622469,20,1000,0,0.0023061086660862502,1.3127154576747282,2.744381170825418,Rossler,False,1.4237068490914022,32.0,54.02
10000,1.796820702938341,0.009303282085487917,3,False,200,0.000653929659165442,0.04351050406694412,0.38299116492271423,1.1801701784133911,0.6227806210517883,0.16228896379470825,1.0184849500656128,5.189187368159765e-07,2.0146095059018845,0.15059688939547888,0.04449083903410632,9987,32000,0.0007497810334554769,20,1000,1,0.0017054395552008415,0.6364979417146472,0.4258928659748302,Rossler,False,3.648248800796718,82.0,54.3
10000,1.796820702938341,0.0652454009875776,3,False,200,0.000491170329041779,0.0341854989528656,0.3129501938819885,1.5430876016616821,0.6116045713424683,0.12469135969877243,1.2611603736877441,4.990225281744642e-07,2.0146095059018845,0.15059688939547888,0.04449083903410632,9987,32000,0.0005633360276383849,20,1000,2,0.0014591452283145775,0.7170465672323644,0.5795597570991443,Rossler,False,3.6927396398308243,83.0,54.34
22000,1.796820702938341,0.059136574337422775,3,False,200,0.0005655978457070887,0.01064173225313425,0.1558896154165268,1.472715139389038,0.634084165096283,0.06427890062332153,0.9808481931686401,5.540775796362141e-07,2.0146095059018845,0.15059688939547888,0.04449083903410632,21891,32000,0.0006486757421798534,20,1000,0,0.0015963756375217124,0.6436631710969376,0.5734502181124244,Rossler,False,4.805010615683482,108.0,65.47
22000,1.796820702938341,0.007362882889129417,3,False,200,0.0005930031766183674,0.01175481267273426,0.18325193226337433,1.1789402961730957,0.6646333336830139,0.06429699808359146,0.9842222929000854,4.4971436068408367e-07,2.0146095059018845,0.15059688939547888,0.04449083903410632,21891,32000,0.000680357787534601,20,1000,1,0.0018180805909892431,0.6504587015941058,0.4229310645936948,Rossler,False,4.671538098581164,105.0,66.69
22000,1.796820702938341,0.011339735398373503,3,False,200,0.0005475936341099441,0.025785507634282112,0.3481055200099945,1.0318564176559448,0.7575673460960388,0.17419297993183136,0.7343547344207764,4.923918818349193e-07,2.0146095059018845,0.15059688939547888,0.04449083903410632,21891,32000,0.0006292001216108439,20,1000,2,0.0016598089836536312,0.5686644016191721,0.39071512439005085,Rossler,False,4.004175513069569,90.00000000000001,66.28
46000,1.796820702938341,0.01796953202914926,3,False,200,0.0005431804456748068,0.00874931551516056,0.18110686540603638,0.9078328013420105,0.5826316475868225,0.08641339838504791,1.1050430536270142,3.59808580697063e-07,2.0146095059018845,0.15059688939547888,0.04449083903410632,46212,32000,0.0006250208184293889,20,1000,0,0.0016853589639675263,0.5843020586090434,0.3831577275406283,Rossler,False,4.582556420512951,103.0,94.81
46000,1.796820702938341,0.008823894920496933,3,False,200,0.0006091656978242099,0.012536748312413692,0.21707116067409515,1.117271900177002,0.5603360533714294,0.0772244781255722,0.9103164076805115,4.850902023463277e-07,2.0146095059018845,0.15059688939547888,0.04449083903410632,46212,32000,0.0006989595295006762,20,1000,1,0.0017406842382907148,0.5681784933677824,0.40419271328892387,Rossler,False,4.671538098581164,105.0,95.6
46000,1.796820702938341,0.009875425099237388,3,False,200,0.0005574529059231281,0.006307558156549931,0.19731354713439941,1.3711062669754028,0.8133313655853271,0.09915255755186081,0.9717447757720947,4.38851291391984e-07,2.0146095059018845,0.15059688939547888,0.04449083903410632,46212,32000,0.0006397926987313898,20,1000,2,0.0014452698843799214,0.6442085310122285,0.48604637859900973,Rossler,False,4.582556420512951,103.0,93.64
100000,1.796820702938341,0.020719341709897175,3,False,200,0.0004994646296836436,0.008545671589672565,0.13749851286411285,0.9916304349899292,0.6724950075149536,0.04582361876964569,1.0199520587921143,3.908323976702377e-07,2.0146095059018845,0.15059688939547888,0.04449083903410632,99843,32000,0.0005738939713711029,20,1000,0,0.0016870257952553442,0.535954376775227,0.3984286356856313,Rossler,False,4.938483132785802,111.0,140.42
100000,1.796820702938341,0.015516205106046932,3,False,200,0.000470482133096084,0.0023183757439255714,0.03889539837837219,1.0697839260101318,0.49923163652420044,0.014133919961750507,1.0925711393356323,2.672871144113742e-07,2.0146095059018845,0.15059688939547888,0.04449083903410632,99843,32000,0.0005412333597797876,20,1000,1,0.0013417121799965777,0.5457028603549814,0.5583362799246684,Rossler,False,6.940570889320586,156.0,141.59
