budget,corr_dim_pub,density_kl,dim,diverged,epochs,final_train_loss,kaplan_yorke_dim,lyap_max,lyap_time_per_step,n_params,n_train,nrmse_1,seed,smape_1,smape_all,spectrum_error,system,vpt_lyap,vpt_steps,wall_s
10000,1.993931310517824,0.07218664969245293,3,False,200,0.00017625545803457498,2.075158758095728,0.8917098035724058,0.013382780732014665,9987,500,0.012868057361894527,1,0.03896366498858795,0.8191434807594381,0.42353971546721997,Lorenz,0.28103839537230796,21.0,1.98
10000,1.993931310517824,0.09324141809804547,3,False,200,0.00018919693469069898,2.075158758095728,0.8917098035724058,0.013382780732014665,9987,500,0.013784297201868979,2,0.04717914183340068,0.7915588297638362,0.2467534342286526,Lorenz,0.2676556146402933,20.0,1.81
22000,1.993931310517824,0.04453784876023594,3,False,200,0.0002039330096449703,2.075158758095728,0.8917098035724058,0.013382780732014665,21891,500,0.014329976278920218,0,0.049424465211626835,0.9493981333762341,0.9077096017095165,Lorenz,0.24089005317626397,18.0,1.82
22000,1.993931310517824,0.04321622269678583,3,False,200,0.0001499033181462437,2.075158758095728,0.8917098035724058,0.013382780732014665,21891,500,0.012007199786423903,1,0.04472435659933164,0.7361728310803903,0.5063684327727945,Lorenz,0.25427283390827865,19.000000000000004,1.64
22000,1.993931310517824,0.05748267563380266,3,False,200,0.00020584663248155265,2.075158758095728,0.8917098035724058,0.013382780732014665,21891,500,0.012652760109444484,2,0.04352291445477916,0.8125620692325254,0.3556650580095706,Lorenz,0.2676556146402933,20.0,1.63
46000,1.993931310517824,0.027524435103128315,3,False,200,0.00016160272038541734,2.075158758095728,0.8917098035724058,0.013382780732014665,46212,500,0.013028446210513514,0,0.052157923651269596,0.9681608750676143,0.7143859952582204,Lorenz,0.25427283390827865,19.000000000000004,2.17
46000,1.993931310517824,0.041140388397601264,3,False,200,0.00019893429276999087,2.075158758095728,0.8917098035724058,0.013382780732014665,46212,500,0.01396642054805584,1,0.048757715915926536,0.8463876184052269,0.5703496740357509,Lorenz,0.25427283390827865,19.000000000000004,2.23
46000,1.993931310517824,0.05757880845619875,3,False,200,0.00023211120860651137,2.075158758095728,0.8917098035724058,0.013382780732014665,46212,500,0.014353137773544175,2,0.050503112670376576,0.9223710462600597,0.6471529159007273,Lorenz,0.2676556146402933,20.0,2.22
100000,1.993931310517824,0.040510278177796094,3,False,200,0.0002741086417809129,2.075158758095728,0.8917098035724058,0.013382780732014665,99843,500,0.016549075531688662,0,0.05648629804764644,0.9357097044582466,0.5339878023686915,Lorenz,0.21412449171223463,16.0,2.87
100000,1.993931310517824,0.9849239507998634,3,False,200,0.0002349593958351761,2.075158758095728,0.8917098035724058,0.013382780732014665,99843,500,0.013842433390405027,1,0.041610870535498175,0.7856627629161411,0.6141968441994726,Lorenz,0.2676556146402933,20.0,3.04
