budget,family,final_train_loss,knob,lyap,n_params,rel_error,seed,wall_s
800,StandardMap,3.750333456991939e-06,1.3,4.692233620569392e-05,827,0.0019091506048305098,3,12.96
800,StandardMap,3.3217379241250456e-06,1.3,4.692233620569392e-05,827,0.001796163624935752,4,14.33
1600,StandardMap,2.220123846200295e-06,1.3,4.692233620569392e-05,1586,0.0014688225930860963,0,13.56
1600,StandardMap,2.0476229592532036e-06,1.3,4.692233620569392e-05,1586,0.001409627535371947,1,13.4
1600,StandardMap,2.2852233923913444e-06,1.3,4.692233620569392e-05,1586,0.0014900869418207293,2,13.93
1600,StandardMap,1.4591652115996113e-06,1.3,4.692233620569392e-05,1586,0.0011897318736056718,3,13.66
1600,StandardMap,4.28224233473884e-06,1.3,4.692233620569392e-05,1586,0.0020389443695899285,4,13.38
3200,StandardMap,1.5841251370147801e-06,1.3,4.692233620569392e-05,3235,0.0012413483614396902,0,14.23
3200,StandardMap,1.2376646182019612e-06,1.3,4.692233620569392e-05,3235,0.0010967820184604466,1,14.41
3200,StandardMap,1.2320014402575907e-06,1.3,4.692233620569392e-05,3235,0.0010940657657661178,2,14.26
3200,StandardMap,6.24164287273743e-07,1.3,4.692233620569392e-05,3235,0.0007779151649829932,3,14.16
3200,StandardMap,1.4592151956094312e-06,1.3,4.692233620569392e-05,3235,0.0011901857296480254,4,16.17
6400,StandardMap,8.242228504968807e-07,1.3,4.692233620569392e-05,6386,0.0008949881686078943,0,16.24
6400,StandardMap,7.483637991754222e-07,1.3,4.692233620569392e-05,6386,0.0008525421885821411,1,15.61
6400,StandardMap,9.301009481532674e-07,1.3,4.692233620569392e-05,6386,0.0009499236221591196,2,16.54
6400,StandardMap,9.516855170659255e-07,1.3,4.692233620569392e-05,6386,0.0009608708914759619,3,15.89
6400,StandardMap,8.680205360178661e-07,1.3,4.692233620569392e-05,6386,0.000918610882290617,4,16.17
12800,StandardMap,5.285761558297964e-07,1.3,4.692233620569392e-05,12755,0.0007171795092241658,0,19.46
12800,StandardMap,8.366491356355254e-07,1.3,4.692233620569392e-05,12755,0.0009010693347810485,1,18.95
12800,StandardMap,6.918394328749855e-07,1.3,4.692233620569392e-05,12755,0.0008193077882714183,2,18.43
12800,StandardMap,8.798919907349045e-07,1.3,4.692233620569392e-05,12755,0.0009235692251355318,3,18.69
12800,StandardMap,4.911729261038999e-07,1.3,4.692233620569392e-05,12755,0.0006913453945949345,4,18.65
25600,StandardMap,3.81015914854288e-07,1.3,4.692233620569392e-05,25586,0.0006074961217630772,0,23.56
25600,StandardMap,4.100445744370518e-07,1.3,4.692233620569392e-05,25586,0.0006311364458862704,1,24.72
