arch,dataset,frac_affected_final,frac_affected_step1,frac_curve,global_share_final,global_share_mean,has_global,knockout_ratio,memory_ratio,modality,n_cells,n_params,nrmse_global_off,nrmse_global_on,nrmse_intact,nrmse_wiped,ordered,radius_curve,radius_step1,scale,seed,steps_to_cover
A1_local,natural_patches_16x16,0.265625,0.03515625,0.0352;0.0859;0.0977;0.0977;0.1055;0.1211;0.1289;0.1445;0.1484;0.1484;0.1562;0.1602;0.1680;0.1719;0.1719;0.1836;0.1836;0.1914;0.1992;0.2070;0.2148;0.2188;0.2227;0.2266;0.2305;0.2344;0.2344;0.2383;0.2461;0.2539;0.2539;0.2656,0.0,0.0,False,1.0,0.492415429899303,image,256,13088,0.31266160954067607,0.31266160954067607,0.6389611508327573,0.31463432977626554,True,1;2;2;2;3;3;3;3;3;3;3;3;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;5;5,1.0,0.7305,1,nan
A2_pooled,natural_patches_16x16,1.0,1.0,1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000,0.1400391670031552,0.16945561420052108,True,1.1837186182106638,1.9420978805185058,image,256,13016,0.3585009504879019,0.30285994067561445,0.3443785165877329,0.6688167871611431,True,8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8,8.0,0.6016,0,1
A2_pooled,natural_patches_16x16,1.0,1.0,1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000,1.0491950962167773,0.9486570732062426,True,3.3689400079060117,2.0888079324072506,image,256,13016,0.9802093853781947,0.2909548353719278,0.32300697672365064,0.6746995352032457,True,8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8,8.0,0.6016,2,1
A3_attentive,natural_patches_16x16,1.0,1.0,1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000,2.3785936305347484,2.0600627768980484,True,7.861209273230139,1.6584153410764741,image,256,13016,2.393053101740288,0.3044128477649587,0.46690793234852446,0.7743272778770895,True,8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8,8.0,0.543,1,1
A4_interleaved,natural_patches_16x16,1.0,1.0,1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000,0.1312152516692035,0.12124436160590553,True,1.0346718978170109,1.1009778225172493,image,256,12949,0.24446203063863697,0.23627009794545692,0.39591037752297276,0.43588854535722465,True,8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8,8.0,0.5742,0,1
A4_interleaved,natural_patches_16x16,1.0,1.0,1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000,0.19498115800765045,0.15724252356320825,True,1.0465861374321317,1.059981799398902,image,256,12949,0.24373076933687224,0.23288170998985502,0.3743357254505859,0.3967890558424054,True,8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8,8.0,0.5742,2,1
A1_local,text_chars,0.15625,0.046875,0.0469;0.0781;0.1094;0.1406;0.1406;0.1406;0.1406;0.1562;0.1562;0.1562;0.1562;0.1562;0.1562;0.1562;0.1562;0.1562;0.1562;0.1562;0.1562;0.1562;0.1562;0.1562;0.1562;0.1562;0.1562;0.1562;0.1562;0.1562;0.1562;0.1562;0.1562;0.1562,0.0,0.0,False,1.0,1.0923029724886983,text,64,13215,0.9756716327581303,0.9756716327581303,0.975706543664224,1.0657671579211059,True,1;2;3;4;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5,1.0,0.7422,1,nan
A2_pooled,text_chars,1.0,1.0,1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000,0.11892288253058488,0.11078692654569139,True,1.0122477898345155,1.0650541507760476,text,64,13046,1.0049891222649359,0.9928291593792797,1.0268279907179083,1.0936274136471371,True,32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32,32.0,0.6133,0,1
A2_pooled,text_chars,1.0,1.0,1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000,0.25035309912083625,0.2251549578852754,True,1.003871279097244,1.1652997858185146,text,64,13046,0.976432211125962,0.9726667466809518,0.9717514494427649,1.132381755904485,True,32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32,32.0,0.6133,2,1
A3_attentive,text_chars,1.0,1.0,1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000,0.845695218513065,0.8352904278130044,True,1.044597151631354,1.1591690101662477,text,64,13163,1.0125014828001107,0.96927459664128,0.975339286684724,1.1305830755225856,True,32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32,32.0,0.5547,1,1
