arch,dataset,decay_per_cell,frac_affected_final__thresholded,frac_affected_step1__thresholded,frac_curve,global_share_final,global_share_mean,has_global,knockout_ratio,lightcone_leak_final,lightcone_leak_step1,memory_ratio,modality,n_cells,n_params,nrmse_global_off,nrmse_global_on,nrmse_intact,nrmse_wiped,ordered,radius_curve,radius_step1__thresholded,scale,seed,steps_to_cover__thresholded
A3_attentive,cml_timewindow,0.3145960942810884,1.0,1.0,1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000,4.540092889248031,3.484776262858427,True,2.5416339644550154,0.0,0.0035543082032833554,0.7533377464024438,chaos,64,13163,1.1649425894952419,0.4583439652550568,1.045402212853484,0.7875409471151714,True,32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32,32.0,0.5547,2,1
A4_interleaved,cml_timewindow,0.087422736835272,1.0,1.0,1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000,0.4130331370781018,0.4096460339275794,True,2.038363753986595,0.0,0.06924175594298493,2.0329224057803197,chaos,64,12795,0.7467434356202433,0.36634454187079024,0.6972418219995616,1.4174385221900023,True,32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32,32.0,0.5859,1,1
A1_local,lorenz_state,nan,1.0,1.0,1.0000;1.0000;1.0000;1.0000;1.0000;1.0000,0.0,0.0,False,1.0,0.0,0.0,1.1200515420278028,chaos,3,13215,0.7503304409021702,0.7503304409021702,0.7353303220276779,0.8236078610869014,False,1;1;1;1;1;1,1.0,0.7422,0,1
A1_local,lorenz_state,nan,1.0,1.0,1.0000;1.0000;1.0000;1.0000;1.0000;1.0000,0.0,0.0,False,1.0,0.0,0.0,1.3808274520891497,chaos,3,13215,0.77509504961125,0.77509504961125,1.1828343680222626,1.6332901666396604,False,1;1;1;1;1;1,1.0,0.7422,2,1
A2_pooled,lorenz_state,nan,1.0,1.0,1.0000;1.0000;1.0000;1.0000;1.0000;1.0000,0.1434227089754891,0.23232369452818447,True,1.0644934629041223,0.0,0.0,1.485405018894524,chaos,3,13046,1.0062125526870787,0.9452501004017034,1.0725250713010328,1.5931341238007615,False,1;1;1;1;1;1,1.0,0.6133,1,1
A3_attentive,lorenz_state,nan,1.0,1.0,1.0000;1.0000;1.0000;1.0000;1.0000;1.0000,1.5770918926383464,1.217909621634812,True,1.1342422246020725,0.0,0.0,1.2107064522441813,chaos,3,13163,0.9056827441375525,0.798491472538235,0.7797306293940143,0.9440249040197495,False,1;1;1;1;1;1,1.0,0.5547,0,1
A3_attentive,lorenz_state,nan,1.0,1.0,1.0000;1.0000;1.0000;1.0000;1.0000;1.0000,1.2850825231236938,1.2376251218888366,True,1.2101002123791254,0.0,0.0,1.1514127171933974,chaos,3,13163,0.9524892950451134,0.7871160465069794,0.8768670927244281,1.0096359218513085,False,1;1;1;1;1;1,1.0,0.5547,2,1
A4_interleaved,lorenz_state,nan,1.0,1.0,1.0000;1.0000;1.0000;1.0000;1.0000;1.0000,0.5086931112624495,0.7631924551949727,True,2.7916307861803715,0.0,0.0,1.137280789702818,chaos,3,13065,1.4580720270806167,0.5223011704479779,0.5536656083944662,0.6296732603461498,False,1;1;1;1;1;1,1.0,0.6055,1,1
A1_local,eca_rule110,0.9879701726915188,0.171875,0.046875,0.0469;0.0781;0.1094;0.1094;0.1094;0.1094;0.1406;0.1406;0.1406;0.1406;0.1406;0.1406;0.1406;0.1406;0.1406;0.1406;0.1406;0.1406;0.1562;0.1562;0.1562;0.1562;0.1562;0.1562;0.1562;0.1562;0.1562;0.1562;0.1562;0.1562;0.1719;0.1719,0.0,0.0,False,1.0,0.0,0.0,1.0013963025602788,ca,64,13215,0.9795691272144088,0.9795691272144088,0.9789605207643203,0.9803274458458753,True,1;2;3;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5,1.0,0.7422,0,nan
A1_local,eca_rule110,0.8003188719596652,0.203125,0.046875,0.0469;0.0781;0.0938;0.1094;0.1094;0.1094;0.1250;0.1406;0.1406;0.1406;0.1406;0.1406;0.1406;0.1562;0.1562;0.1719;0.1719;0.1719;0.1719;0.1719;0.1719;0.1719;0.1719;0.1719;0.1875;0.1875;0.2031;0.2031;0.2031;0.2031;0.2031;0.2031,0.0,0.0,False,1.0,0.0,0.0,0.9993500873060385,ca,64,13215,0.977578508907017,0.977578508907017,0.9787827550282069,0.9781466316910834,True,1;2;3;3;3;3;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;5;5;6;6;6;6;6;6;6;6,1.0,0.7422,2,nan
A2_pooled,eca_rule110,0.28767987518608673,1.0,1.0,1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000,0.011718531796187157,0.02414295837218319,True,0.9991557787053635,0.0,0.008714874547707328,0.9969412844724029,ca,64,13046,0.9925122195295417,0.9933508274511207,0.9955994824258875,0.9925542268297238,True,32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32,32.0,0.6133,1,1
A3_attentive,eca_rule110,0.5691435270026983,1.0,1.0,1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000,0.7268597834329535,0.7973035788146958,True,1.0214659831169137,0.0,0.012586552055374536,0.9440515175419504,ca,64,13163,1.000285249127987,0.9792643765538862,1.0477431024472506,0.9891234658594381,True,32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32,32.0,0.5547,0,1
A3_attentive,eca_rule110,0.5278841248885467,1.0,1.0,1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000,1.2764972593770576,1.2830474302888422,True,0.9983986405282717,0.0,0.038091918768000804,0.9093909760831109,ca,64,13163,0.977068103283899,0.9786352501110316,1.0911900257703941,0.9923183626274937,True,32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32,32.0,0.5547,2,1
A4_interleaved,eca_rule110,0.312156336842958,1.0,1.0,1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000,0.7622168731925566,0.7384429821974716,True,1.1242876326052047,0.0,0.08615175925570837,0.9779635758053277,ca,64,12795,0.9818803270700796,0.8733355225075826,0.8851417407254148,0.865636381854379,True,32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32,32.0,0.5859,1,1
A1_local,digits_8x8,0.5369887740133238,1.0,0.140625,0.1406;0.3906;0.7656;1.0000;1.0000;0.9844;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000;1.0000,0.0,0.0,False,1.0,0.0,0.0,0.8860728439006966,image,64,13088,0.585819477045115,0.585819477045115,0.8138594740353212,0.7211387786940022,True,1;2;3;4;4;4;4;4;4;4;4;4;4;4;4;4,1.0,0.7305,0,4
