system,dim,nn_dist,attractor_spread,coverage,lyap_max,model_vpt,parrot_vpt,censored,ratio,log_ratio
HastingsPowell,3,0.0172043600814051,2.332161080792978,0.007377003339561476,0.0125327961245632,200.0,184.0,0.6666666666666666,1.0869565217391304,0.083381608939051
HenonHeiles,4,0.025742634910213613,2.6425084764263493,0.009741741659435353,0.0355112031523952,200.0,200.0,1.0,1.0,0.0
HindmarshRose,3,0.007206139916727963,1.7862555250371293,0.00403421560673867,0.6535393283242747,38.0,37.0,0.0,1.027027027027027,0.026668247082161273
Hopfield,6,0.030762834593053973,3.140845168234612,0.009794444789631247,0.5684266951234997,53.0,133.0,0.0,0.39849624060150374,-0.920057214669632
HyperBao,4,0.12661675213570234,2.589080084980625,0.048904146638882304,0.7941925747845208,72.0,30.0,0.0,2.4,0.8754687373538999
HyperCai,4,0.20008396308569973,2.5868812632052913,0.07734563079164462,1.677758489904413,55.99999999999999,23.0,0.0,2.434782608695652,0.8898574748059994
HyperJha,4,0.23129072759352715,2.5321435634142864,0.09134186976415344,0.3869536163676076,74.0,47.99999999999999,0.0,1.541666666666667,0.43286408229627904
HyperLorenz,4,0.11955624653746008,2.604986759005345,0.04589514557959209,0.3288809596909799,82.0,39.0,0.0,2.1025641025641026,0.7431576011346067
HyperPang,4,0.18501086095499064,2.5713304812298965,0.07195141282131025,1.4465315511406869,81.0,48.0,0.0,1.6875,0.5232481437645479
HyperQi,4,0.18582870522636752,2.2212584834116815,0.08365919887943386,12.787249321134263,29.0,3.0,0.0,9.666666666666666,2.268683541318364
HyperRossler,4,0.10989192490482641,2.4023336280747123,0.04574382326442162,0.1718849632568779,73.0,49.0,0.0,1.489795918367347,0.3986391430377646
HyperWang,4,0.25227525475738066,2.55356238155163,0.09879345677237372,1.2930140887300063,72.0,44.0,0.0,1.6363636363636365,0.49247648509779424
HyperXu,4,0.14256125851401308,2.6216982595629488,0.0543774471352698,0.9819830018599977,144.0,28.000000000000004,0.0,5.142857142857142,1.6376087894007967
HyperYan,4,0.03140097606908608,2.5119192004336997,0.012500790655871612,1.3945968455812914,55.0,74.0,0.0,0.7432432432432432,-0.2967319079716989
HyperYangChen,4,0.11248435978491,2.5971959923046954,0.04330992351682086,0.4204273252194166,200.0,37.0,0.6666666666666666,5.405405405405405,1.6873994539038122
IsothermalChemical,3,0.00443046044997401,2.166637825578114,0.0020448551196099655,0.450090505359164,143.0,200.0,0.3333333333333333,0.715,-0.33547273628812946
ItikBanksTumor,3,0.006144185345544456,1.9300205425500923,0.0031834818387094905,0.0362150968499142,18.0,13.0,0.0,1.3846153846153846,0.32542240043462795
JerkCircuit,3,0.017697554686887555,2.178053854209076,0.00812539811753834,0.2922722771543928,64.0,96.0,0.0,0.6666666666666666,-0.40546510810816444
KawczynskiStrizhak,3,0.00129596831907269,1.197792158954444,0.0010819642701651547,0.0757060839542753,29.0,171.0,0.0,0.1695906432748538,-1.774367726516186
Laser,3,0.017831052315681856,2.1812115945357715,0.008174838406485203,0.6080602180196161,83.0,125.0,0.0,0.664,-0.40947312950570314
LiuChen,3,0.0006083953630935031,1.6244466992683528,0.0003745246694566975,0.2457084451352168,6.0,4.0,0.0,1.5,0.4054651081081644
Lorenz84,3,0.024707686447543793,2.252742291307172,0.010967826432204527,0.4614668385793661,28.0,28.0,0.0,1.0,0.0
Lorenz96,4,0.07654256605768334,2.6436708854359243,0.028953137275656748,1.3361667787286362,34.0,31.0,0.0,1.096774193548387,0.09237332013101507
LorenzBounded,3,0.02476436229101797,2.2481182015494254,0.01101559618793626,0.7124135270827626,118.0,132.0,0.0,0.8939393939393939,-0.11211729812070612
LorenzCoupled,6,0.14485972226670646,3.186331135005791,0.04546285873280499,1.0284398414904556,56.0,34.0,0.0,1.6470588235294117,0.4989911661189878
LorenzStenflo,4,0.0362419936454407,2.6508351745852967,0.013671915173341733,0.3807742646421621,51.0,55.0,0.0,0.9272727272727272,-0.07550755250814517
Lorenz,3,0.02152307589426109,2.0947000521988186,0.010275015686216362,0.8917098035724058,87.0,109.0,0.0,0.7981651376146789,-0.22543976357456
