budget,corr_dim_pub,density_kl,dim,diverged,epochs,final_train_loss,kaplan_yorke_dim,lyap_max,lyap_time_per_step,n_params,n_train,nrmse_1,seed,smape_1,smape_all,spectrum_error,system,vpt_lyap,vpt_steps,wall_s
10000,1.796820702938341,0.052373495051487695,3,False,200,6.021455983864144e-05,2.0146095059018845,0.15059688939547888,0.008898167806821265,9987,500,0.018059646822771322,1,0.023537045866230694,0.2586849106376859,0.7918786775738167,Rossler,1.076678304625373,121.0,1.98
10000,1.796820702938341,0.030015556060988467,3,False,200,6.140033766860143e-05,2.0146095059018845,0.15059688939547888,0.008898167806821265,9987,500,0.01808922187760232,2,0.017147326146661167,0.25478398194774615,1.2335063272006337,Rossler,1.0855764724321944,122.00000000000001,1.81
22000,1.796820702938341,0.039528320406983154,3,False,200,5.746609534253366e-05,2.0146095059018845,0.15059688939547888,0.008898167806821265,21891,500,0.01583572980683717,0,0.023434295790055595,0.3155008812354847,0.5038117139096548,Rossler,0.9521039553298754,107.0,1.84
22000,1.796820702938341,0.04503477487423151,3,False,200,4.90213081066031e-05,2.0146095059018845,0.15059688939547888,0.008898167806821265,21891,500,0.016114232734906305,1,0.02592533309078938,0.2963979627656928,0.5868184966102904,Rossler,1.0855764724321944,122.00000000000001,1.63
22000,1.796820702938341,0.08138892811974725,3,False,200,5.352700111689046e-05,2.0146095059018845,0.15059688939547888,0.008898167806821265,21891,500,0.01644392972321288,2,0.01712040593824044,0.4187505557431072,0.74982486995484,Rossler,0.26694503420463794,30.0,1.62
46000,1.796820702938341,0.0539045370338706,3,False,200,0.00011690197128336877,2.0146095059018845,0.15059688939547888,0.008898167806821265,46212,500,0.02087801117929028,0,0.021944777413926652,0.28015964257301523,0.4334152036710748,Rossler,1.1033728080458367,123.99999999999999,2.19
46000,1.796820702938341,0.10485805456784007,3,False,200,0.00010638293129159138,2.0146095059018845,0.15059688939547888,0.008898167806821265,46212,500,0.020630217341204602,1,0.025618473263122502,0.3351440677527748,0.6181608290440551,Rossler,0.19575969175006783,22.0,2.26
46000,1.796820702938341,0.06900858473926162,3,False,200,9.64767609257251e-05,2.0146095059018845,0.15059688939547888,0.008898167806821265,46212,500,0.01936959269625385,2,0.022619458288156587,0.3008435499063046,0.5860411097754042,Rossler,1.076678304625373,121.0,2.18
100000,1.796820702938341,0.06616706229349652,3,False,200,6.536024151137099e-05,2.0146095059018845,0.15059688939547888,0.008898167806821265,99843,500,0.016889707391274725,0,0.023522529896514096,0.3322638691524905,0.5989983160570875,Rossler,0.9699002909435178,109.0,2.89
100000,1.796820702938341,0.06510820691774669,3,False,200,0.00010180883388966322,2.0146095059018845,0.15059688939547888,0.008898167806821265,99843,500,0.02028883705823085,1,0.031170353273719576,0.49325082039991525,0.6526399435672529,Rossler,0.2758432020114592,30.999999999999996,3.04
