beats_mean,err_knn,err_mean_baseline,err_model,lag,lookback,mode,n_features,seed,skill,train_s
True,0.4605527800234265,1.0,0.018277384340763092,4,1,jittered,3,1,0.9817226156592369,12.8
True,0.42803811103270517,1.0,0.007883001118898392,4,1,jittered,3,2,0.9921169988811016,12.8
True,1.4465813463728912,1.0,0.015402955934405327,4,8,jittered,24,0,0.9845970440655947,12.9
True,1.3941819193768412,1.0,0.0177751537412405,4,8,jittered,24,1,0.9822248462587595,13.2
True,1.3307749451264823,1.0,0.007332836277782917,4,8,jittered,24,2,0.9926671637222171,13.4
True,0.9343039191996725,1.0,0.026066256687045097,8,1,jittered,3,0,0.9739337433129549,12.7
True,0.847006801753463,1.0,0.021870480850338936,8,1,jittered,3,1,0.9781295191496611,12.6
True,0.6710524963836705,1.0,0.00949377752840519,8,1,jittered,3,2,0.9905062224715948,13.3
True,1.5735331768425553,1.0,0.03187493607401848,8,8,jittered,24,0,0.9681250639259815,13.1
True,1.5400504373187445,1.0,0.02369322068989277,8,8,jittered,24,1,0.9763067793101072,13.0
True,1.4191759852794366,1.0,0.012768322601914406,8,8,jittered,24,2,0.9872316773980856,13.2
True,1.4651079107037064,1.0,0.04566968232393265,16,1,jittered,3,0,0.9543303176760674,12.7
True,1.374936422793341,1.0,0.032179806381464005,16,1,jittered,3,1,0.967820193618536,12.9
True,1.0378498880275826,1.0,0.012405682355165482,16,1,jittered,3,2,0.9875943176448345,12.6
True,1.65759419303289,1.0,0.03728335350751877,16,8,jittered,24,0,0.9627166464924812,13.1
True,1.6645457472501721,1.0,0.03603383153676987,16,8,jittered,24,1,0.9639661684632301,12.9
True,1.5230919859189527,1.0,0.017899831756949425,16,8,jittered,24,2,0.9821001682430506,13.2
True,1.6201878060877322,1.0,0.09142892062664032,32,1,jittered,3,0,0.9085710793733597,12.8
True,1.6598624592800648,1.0,0.053808294236660004,32,1,jittered,3,1,0.94619170576334,12.9
True,1.2669852620045605,1.0,0.0329071581363678,32,1,jittered,3,2,0.9670928418636322,12.7
True,1.5963208290160114,1.0,0.07227853685617447,32,8,jittered,24,0,0.9277214631438255,13.2
True,1.6328720953286935,1.0,0.05334329232573509,32,8,jittered,24,1,0.9466567076742649,13.1
True,1.5703639993858831,1.0,0.02464285120368004,32,8,jittered,24,2,0.97535714879632,12.9
